Company,Recommendations
A,1.90
AAL,3.40
AAP,2.20
AAPL,2.00
ABBV,2.00
ABC,2.30
ABMD,2.30
ABT,1.80
ACN,2.10
ADBE,1.70
ADI,1.80
ADM,1.70
ADP,2.90
ADSK,2.10
AEE,2.10
AEP,2.30
AES,2.00
AFL,3.00
AIG,2.40
AIZ,1.80
AJG,2.20
AKAM,2.00
ALB,2.70
ALGN,2.00
ALK,1.90
ALL,2.20
ALLE,2.60
ALXN,2.90
AMAT,1.90
AMCR,2.90
AMD,2.30
AME,2.10
AMGN,2.30
AMP,1.80
AMT,1.90
AMZN,1.70
ANET,2.30
ANSS,2.40
ANTM,1.90
AON,2.40
AOS,2.70
APA,2.30
APD,2.40
APH,2.20
APTV,2.20
ARE,1.60
ATO,2.40
ATVI,2.00
AVB,2.70
AVGO,2.00
AVY,2.10
AWK,2.30
AXP,2.40
AZO,2.10
BA,2.60
BAC,2.20
BAX,2.10
BBY,2.60
BDX,2.10
BEN,3.20
BF-B,3.30
BIIB,2.70
BIO,1.50
BK,2.20
BKNG,2.60
BKR,2.00
BLK,1.90
BLL,2.30
BMY,1.80
BR,2.50
BRK-B,2.20
BSX,1.70
BWA,2.40
BXP,2.50
C,2.10
CAG,2.40
CAH,2.40
CARR,2.00
CAT,2.60
CB,2.20
CBOE,2.60
CBRE,2.10
CCI,2.10
CCL,2.60
CDNS,2.30
CDW,2.00
CE,2.30
CERN,2.40
CF,2.30
CFG,2.10
CHD,2.60
CHRW,3.00
CHTR,2.20
CI,1.80
CINF,2.80
CL,2.90
CLX,2.70
CMA,3.00
CMCSA,2.00
CME,2.40
CMG,2.10
CMI,2.50
CMS,2.40
CNC,2.00
CNP,2.10
COF,1.90
COG,2.40
COO,2.20
COP,1.90
COST,2.10
CPB,2.90
CPRT,1.70
CRM,1.90
CSCO,2.20
CSX,2.20
CTAS,2.30
CTLT,1.70
CTSH,2.50
CTVA,2.40
CTXS,2.30
CVS,2.10
CVX,2.30
CZR,2.00
D,2.20
DAL,2.40
DD,2.20
DE,2.10
DFS,2.20
DG,1.90
DGX,2.20
DHI,1.90
DHR,1.80
DIS,2.00
DISCA,3.00
DISCK,3.00
DISH,2.60
DLR,2.10
DLTR,2.40
DOV,2.20
DOW,2.70
DPZ,2.20
DRE,2.10
DRI,2.10
DTE,2.30
DUK,2.60
DVA,2.90
DVN,1.80
DXC,2.60
DXCM,1.70
EA,2.10
EBAY,2.40
ECL,2.60
ED,3.50
EFX,2.30
EIX,2.00
EL,2.00
EMN,2.10
EMR,2.20
ENPH,2.20
EOG,2.20
EQIX,1.80
EQR,2.90
ES,2.60
ESS,2.50
ETN,2.00
ETR,2.10
ETSY,1.90
EVRG,1.70
EW,2.20
EXC,2.20
EXPD,3.20
EXPE,2.30
EXR,2.10
F,2.60
FANG,1.90
FAST,2.80
FB,1.80
FBHS,2.50
FCX,2.00
FDX,2.10
FE,2.40
FFIV,2.40
FIS,1.90
FISV,1.80
FITB,1.90
FLIR,3.00
FLT,2.10
FMC,1.80
FOX,6
FOXA,2.50
FRC,2.50
FRT,3.00
FTNT,2.10
FTV,2.40
GD,2.60
GE,2.10
GILD,2.30
GIS,2.90
GL,2.90
GLW,1.90
GM,1.80
GNRC,1.70
GOOG,1.50
GOOGL,1.70
GPC,2.90
GPN,1.90
GPS,2.90
GRMN,2.20
GS,2.20
GWW,2.60
HAL,2.40
HAS,1.90
HBAN,2.30
HBI,2.70
HCA,2.00
HD,2.10
HES,2.10
HFC,2.80
HIG,2.10
HII,2.50
HLT,2.30
HOLX,1.80
HON,2.20
HPE,2.60
HPQ,2.60
HRL,3.20
HSIC,2.50
HST,2.80
HSY,2.40
HUM,2.00
HWM,2.00
IBM,2.60
ICE,1.80
IDXX,1.90
IEX,2.20
IFF,2.10
ILMN,2.70
INCY,2.20
INFO,2.00
INTC,2.80
INTU,1.90
IP,2.50
IPG,2.40
IPGP,2.20
IQV,1.70
IR,2.10
IRM,2.60
ISRG,2.20
IT,2.00
ITW,2.80
IVZ,2.90
J,1.70
JBHT,2.20
JCI,2.20
JKHY,2.60
JNJ,1.90
JNPR,3.10
JPM,2.30
K,2.70
KEY,2.80
KEYS,1.80
KHC,2.70
KIM,2.30
KLAC,2.30
KMB,2.90
KMI,2.70
KMX,1.70
KO,2.10
KR,2.70
KSU,2.50
L,3.00
LB,2.50
LDOS,1.60
LEG,2.50
LEN,2.30
LH,1.80
LHX,2.00
LIN,2.00
LKQ,1.60
LLY,2.10
LMT,2.20
LNC,2.50
LNT,2.00
LOW,1.90
LRCX,2.00
LUMN,3.40
LUV,1.90
LVS,2.10
LW,2.30
LYB,2.50
LYV,2.50
MA,1.80
MAA,2.60
MAR,2.50
MAS,2.40
MCD,2.00
MCHP,2.00
MCK,1.90
MCO,2.10
MDLZ,1.80
MDT,1.90
MET,2.00
MGM,2.60
MHK,2.50
MKC,3.10
MKTX,2.70
MLM,2.40
MMC,2.90
MMM,3.00
MNST,2.10
MO,2.10
MOS,2.20
MPC,1.90
MPWR,1.80
MRK,2.00
MRO,2.60
MS,2.10
MSCI,2.30
MSFT,1.70
MSI,1.80
MTB,2.60
MTD,3.20
MU,1.90
MXIM,2.80
NCLH,2.40
NDAQ,2.30
NEE,2.00
NEM,2.00
NFLX,2.00
NI,1.90
NKE,1.90
NLOK,2.30
NLSN,2.10
NOC,2.00
NOV,2.40
NOW,1.70
NRG,2.10
NSC,2.30
NTAP,2.50
NTRS,2.90
NUE,2.40
NVDA,2.00
NVR,2.70
NWL,2.70
NWS,6
NWSA,1.90
NXPI,2.10
O,2.30
ODFL,2.30
OKE,2.80
OMC,2.80
ORCL,2.80
ORLY,2.10
OTIS,2.20
OXY,2.90
PAYC,1.80
PAYX,3.00
PBCT,3.00
PCAR,2.60
PEAK,2.30
PEG,2.30
PENN,2.40
PEP,2.30
PFE,2.60
PFG,2.70
PG,2.50
PGR,2.70
PH,2.00
PHM,2.20
PKG,2.80
PKI,2.20
PLD,1.90
PM,2.00
PNC,2.60
PNR,2.60
PNW,2.70
POOL,2.30
PPG,2.20
PPL,2.50
PRGO,2.70
PRU,2.70
PSA,2.70
PSX,1.90
PTC,1.90
PVH,2.40
PWR,1.90
PXD,1.90
PYPL,1.80
QCOM,2.00
QRVO,2.20
RCL,2.60
RE,1.80
REG,2.40
REGN,2.00
RF,2.20
RHI,2.80
RJF,2.00
RL,2.50
RMD,2.60
ROK,2.60
ROL,2.30
ROP,2.50
ROST,1.90
RSG,2.20
RTX,2.00
SBAC,1.90
SBUX,2.20
SCHW,2.00
SEE,2.10
SHW,2.30
SIVB,2.30
SJM,3.20
SLB,2.10
SNA,2.70
SNPS,2.00
SO,2.60
SPG,2.40
SPGI,1.70
SRE,2.10
STE,2.00
STT,2.40
STX,2.50
STZ,2.10
SWK,2.20
SWKS,2.30
SYF,1.90
SYK,2.20
SYY,2.50
T,2.90
TAP,2.80
TDG,2.20
TDY,1.60
TEL,2.20
TER,2.20
TFC,2.30
TFX,1.60
TGT,1.90
TJX,1.80
TMO,1.70
TMUS,1.90
TPR,2.30
TRMB,2.00
TROW,3.00
TRV,2.70
TSCO,2.30
TSLA,2.80
TSN,2.20
TT,2.60
TTWO,2.20
TWTR,2.70
TXN,2.40
TXT,2.40
TYL,2.10
UA,3.50
UAA,2.70
UAL,2.60
UDR,2.40
UHS,2.40
ULTA,2.30
UNH,1.80
UNM,3.00
UNP,2.00
UPS,2.40
URI,2.40
USB,2.20
V,1.80
VFC,2.20
VIAC,2.90
VLO,1.80
VMC,2.40
VNO,3.00
VRSK,2.20
VRSN,2.00
VRTX,1.80
VTR,2.90
VTRS,2.40
VZ,2.70
WAB,2.30
WAT,3.20
WBA,3.00
WDC,2.20
WEC,3.10
WELL,2.60
WFC,2.20
WHR,2.70
WLTW,2.30
WM,2.40
WMB,2.00
WMT,1.90
WRB,2.80
WRK,2.10
WST,2.00
WU,2.90
WY,2.00
WYNN,2.30
XEL,2.90
XLNX,2.80
XOM,2.60
XRAY,1.90
XYL,2.90
YUM,2.50
ZBH,1.80
ZBRA,2.10
ZION,2.70
ZTS,1.90
